filename,label
PAT_236_361_180.png,Actinic Keratosis
PAT_241_367_89.png,Basal Cell Carcinoma
PAT_241_367_374.png,Basal Cell Carcinoma
PAT_15_1001_749.png,Basal Cell Carcinoma
PAT_585_1130_474.png,Actinic Keratosis
PAT_224_1340_551.png,Actinic Keratosis
PAT_35_48_43.png,Basal Cell Carcinoma
PAT_20_30_44.png,Squamous Cell Carcinoma
PAT_412_817_232.png,Basal Cell Carcinoma
PAT_219_336_376.png,Squamous Cell Carcinoma
PAT_242_368_261.png,Basal Cell Carcinoma
PAT_36_49_935.png,Basal Cell Carcinoma
PAT_204_310_975.png,Basal Cell Carcinoma
PAT_15_23_240.png,Basal Cell Carcinoma
PAT_286_1459_666.png,Nevus
PAT_8_15_820.png,Basal Cell Carcinoma
PAT_577_1107_61.png,Nevus
PAT_16_24_691.png,Basal Cell Carcinoma
PAT_258_397_198.png,Basal Cell Carcinoma
PAT_224_343_782.png,Basal Cell Carcinoma
PAT_471_909_394.png,Nevus
PAT_29_40_561.png,Nevus
PAT_27_38_240.png,Actinic Keratosis
PAT_464_900_548.png,Basal Cell Carcinoma
PAT_579_1100_988.png,Actinic Keratosis
PAT_534_1009_924.png,Basal Cell Carcinoma
PAT_486_929_274.png,Melanoma
PAT_32_44_211.png,Basal Cell Carcinoma
PAT_265_407_137.png,Basal Cell Carcinoma
PAT_229_349_256.png,Basal Cell Carcinoma
PAT_262_402_265.png,Melanoma
PAT_489_932_138.png,Basal Cell Carcinoma
PAT_217_1291_419.png,Basal Cell Carcinoma
PAT_295_639_240.png,Basal Cell Carcinoma
PAT_230_1009_92.png,Actinic Keratosis
PAT_242_369_930.png,Basal Cell Carcinoma
PAT_422_837_617.png,Basal Cell Carcinoma
PAT_277_1309_814.png,Actinic Keratosis
PAT_202_308_692.png,Actinic Keratosis
PAT_229_349_141.png,Basal Cell Carcinoma
PAT_219_337_358.png,Squamous Cell Carcinoma
